(34.202014,93.969262)
(31.351846,86.138490)
(28.501679,78.307718)
(25.651511,70.476947)
(22.801343,62.646175)
(19.951175,54.815403)
(17.101007,46.984631)
(14.250839,39.153859)
(11.400671,31.323087)
(8.550504,23.492316)
(5.700336,15.661544)
(2.850168,7.830772)
(0.000000,0.000000)
(-2.850168,-7.830772)
(-5.700336,-15.661544)
(-8.550504,-23.492316)
(-11.400671,-31.323087)
(-14.250839,-39.153859)
(-17.101007,-46.984631)
(-19.951175,-54.815403)
(-22.801343,-62.646175)
(-25.651511,-70.476947)
(-28.501679,-78.307718)
(-31.351846,-86.138490)
(-34.202014,-93.969262)
